date,sales
2022-05-21,1148
2022-05-22,1296
2022-05-23,1294
2022-05-24,1349
2022-05-25,1128
2022-05-26,1118
2022-05-27,1041
2022-05-28,1176
2022-05-29,1284
2022-05-30,1329
2022-05-31,1304
2022-06-01,1140
2022-06-02,1030
2022-06-03,1126
2022-06-04,1204
2022-06-05,1279
2022-06-06,1236
2022-06-07,1271
2022-06-08,1129
2022-06-09,1103
2022-06-10,1149
2022-06-11,1191
2022-06-12,1250
2022-06-13,1360
2022-06-14,1208
2022-06-15,1092
2022-06-16,1055
2022-06-17,1140
2022-06-18,1147
2022-06-19,1243
2022-06-20,1293
2022-06-21,1151
2022-06-22,1000
2022-06-23,1045
2022-06-24,1058
2022-06-25,1091
2022-06-26,1241
2022-06-27,1244
2022-06-28,1107
2022-06-29,1093
2022-06-30,1000
2022-07-01,952
2022-07-02,1124
2022-07-03,1174
2022-07-04,1156
2022-07-05,1162
2022-07-06,1071
2022-07-07,961
2022-07-08,1026
2022-07-09,1132
2022-07-10,1121
2022-07-11,1192
2022-07-12,1116
2022-07-13,1140
2022-07-14,876
2022-07-15,1021
2022-07-16,1046
2022-07-17,1132
2022-07-18,1248
2022-07-19,1096
2022-07-20,1119
2022-07-21,928
2022-07-22,984
2022-07-23,1018
2022-07-24,1083
2022-07-25,1137
2022-07-26,1063
2022-07-27,998
2022-07-28,826
2022-07-29,1048
2022-07-30,1016
2022-07-31,1187
2022-08-01,1066
2022-08-02,1074
2022-08-03,1129
2022-08-04,871
2022-08-05,856
2022-08-06,980
2022-08-07,1107
2022-08-08,1135
2022-08-09,1108
2022-08-10,942
2022-08-11,818
2022-08-12,894
2022-08-13,1054
2022-08-14,1091
2022-08-15,987
2022-08-16,1027
2022-08-17,1010
2022-08-18,991
2022-08-19,930
2022-08-20,994
2022-08-21,993
2022-08-22,1030
2022-08-23,1019
2022-08-24,953
2022-08-25,902
2022-08-26,866
2022-08-27,910
2022-08-28,1005
2022-08-29,1004
2022-08-30,1039
2022-08-31,803
2022-09-01,846
2022-09-02,904
2022-09-03,1034
2022-09-04,1039
2022-09-05,1104
2022-09-06,979
2022-09-07,874
2022-09-08,822
2022-09-09,951
2022-09-10,1002
2022-09-11,1054
2022-09-12,1215
2022-09-13,992
2022-09-14,937
2022-09-15,867
2022-09-16,859
2022-09-17,1064
2022-09-18,1102
2022-09-19,975
2022-09-20,971
2022-09-21,926
2022-09-22,889
2022-09-23,802
2022-09-24,835
2022-09-25,931
2022-09-26,1042
2022-09-27,986
2022-09-28,922
2022-09-29,813
2022-09-30,810
2022-10-01,848
2022-10-02,1045
2022-10-03,1067
2022-10-04,1044
2022-10-05,948
2022-10-06,846
2022-10-07,943
2022-10-08,948
2022-10-09,1001
2022-10-10,1028
2022-10-11,972
2022-10-12,807
2022-10-13,870
2022-10-14,895
2022-10-15,944
2022-10-16,1006
2022-10-17,1081
2022-10-18,1096
2022-10-19,927
2022-10-20,847
2022-10-21,864
2022-10-22,970
2022-10-23,990
2022-10-24,1068
2022-10-25,1025
2022-10-26,1029
2022-10-27,932
2022-10-28,958
2022-10-29,951
2022-10-30,1100
2022-10-31,1031
2022-11-01,1052
2022-11-02,973
2022-11-03,862
2022-11-04,1022
2022-11-05,1031
2022-11-06,988
2022-11-07,1133
2022-11-08,1033
2022-11-09,969
2022-11-10,941
2022-11-11,960
2022-11-12,919
2022-11-13,1044
2022-11-14,1163
2022-11-15,1138
2022-11-16,1084
2022-11-17,1028
2022-11-18,858
2022-11-19,1080
2022-11-20,1027
2022-11-21,1226
2022-11-22,1107
2022-11-23,954
2022-11-24,1060
2022-11-25,1015
2022-11-26,970
2022-11-27,1160
2022-11-28,1132
2022-11-29,1123
2022-11-30,1011
2022-12-01,1052
2022-12-02,935
2022-12-03,1104
2022-12-04,1261
2022-12-05,1152
2022-12-06,1153
2022-12-07,1070
2022-12-08,975
2022-12-09,1064
2022-12-10,1119
2022-12-11,1149
2022-12-12,1307
2022-12-13,1208
2022-12-14,1077
2022-12-15,1004
2022-12-16,1019
2022-12-17,1202
2022-12-18,1215
2022-12-19,1269
2022-12-20,1187
2022-12-21,1144
2022-12-22,1057
2022-12-23,1124
2022-12-24,1159
2022-12-25,1292
2022-12-26,1307
2022-12-27,1218
2022-12-28,1098
2022-12-29,1044
2022-12-30,1077
2022-12-31,1147
2023-01-01,1321
2023-01-02,1299
2023-01-03,1330
2023-01-04,1283
2023-01-05,1120
2023-01-06,1064
2023-01-07,1205
2023-01-08,1302
2023-01-09,1255
2023-01-10,1267
2023-01-11,1211
2023-01-12,1123
2023-01-13,1131
2023-01-14,1214
2023-01-15,1423
2023-01-16,1349
2023-01-17,1265
2023-01-18,1205
2023-01-19,1221
2023-01-20,1162
2023-01-21,1303
2023-01-22,1397
2023-01-23,1421
2023-01-24,1403
2023-01-25,1223
2023-01-26,1256
2023-01-27,1183
2023-01-28,1285
2023-01-29,1446
2023-01-30,1450
2023-01-31,1359
2023-02-01,1216
2023-02-02,1253
2023-02-03,1216
2023-02-04,1283
2023-02-05,1378
2023-02-06,1446
2023-02-07,1277
2023-02-08,1317
2023-02-09,1257
2023-02-10,1242
2023-02-11,1404
2023-02-12,1464
2023-02-13,1426
2023-02-14,1371
2023-02-15,1356
2023-02-16,1194
2023-02-17,1276
2023-02-18,1342
2023-02-19,1458
2023-02-20,1487
2023-02-21,1427
2023-02-22,1398
2023-02-23,1301
2023-02-24,1296
2023-02-25,1332
2023-02-26,1509
2023-02-27,1521
2023-02-28,1516
2023-03-01,1322
2023-03-02,1308
2023-03-03,1326
2023-03-04,1405
2023-03-05,1490
2023-03-06,1425
2023-03-07,1500
2023-03-08,1407
2023-03-09,1379
2023-03-10,1456
2023-03-11,1407
2023-03-12,1501
2023-03-13,1525
2023-03-14,1569
2023-03-15,1300
2023-03-16,1359
2023-03-17,1282
2023-03-18,1306
2023-03-19,1413
2023-03-20,1466
2023-03-21,1536
2023-03-22,1353
2023-03-23,1332
2023-03-24,1306
2023-03-25,1474
2023-03-26,1468
2023-03-27,1609
2023-03-28,1440
2023-03-29,1366
2023-03-30,1357
2023-03-31,1372
2023-04-01,1521
2023-04-02,1534
2023-04-03,1487
2023-04-04,1466
2023-04-05,1379
2023-04-06,1390
2023-04-07,1393
2023-04-08,1446
2023-04-09,1574
2023-04-10,1524
2023-04-11,1489
2023-04-12,1418
2023-04-13,1431
2023-04-14,1369
2023-04-15,1435
2023-04-16,1478
2023-04-17,1583
2023-04-18,1465
2023-04-19,1425
2023-04-20,1258
2023-04-21,1424
2023-04-22,1383
2023-04-23,1488
2023-04-24,1598
2023-04-25,1424
2023-04-26,1399
2023-04-27,1352
2023-04-28,1317
2023-04-29,1511
2023-04-30,1596
2023-05-01,1441
2023-05-02,1412
2023-05-03,1437
2023-05-04,1276
2023-05-05,1339
2023-05-06,1442
2023-05-07,1547
2023-05-08,1519
2023-05-09,1480
2023-05-10,1348
2023-05-11,1395
2023-05-12,1324
2023-05-13,1442
2023-05-14,1476
2023-05-15,1524
2023-05-16,1455
2023-05-17,1367
2023-05-18,1268
2023-05-19,1376
2023-05-20,1483
2023-05-21,1501
2023-05-22,1542
2023-05-23,1492
2023-05-24,1407
2023-05-25,1320
2023-05-26,1332
2023-05-27,1441
2023-05-28,1477
2023-05-29,1442
2023-05-30,1435
2023-05-31,1251
2023-06-01,1288
2023-06-02,1326
2023-06-03,1443
2023-06-04,1464
2023-06-05,1520
2023-06-06,1417
2023-06-07,1276
2023-06-08,1200
2023-06-09,1239
2023-06-10,1295
2023-06-11,1470
2023-06-12,1445
2023-06-13,1427
2023-06-14,1313
2023-06-15,1304
2023-06-16,1322
2023-06-17,1312
2023-06-18,1406
2023-06-19,1410
2023-06-20,1298
2023-06-21,1323
2023-06-22,1292
2023-06-23,1249
2023-06-24,1300
2023-06-25,1454
2023-06-26,1299
2023-06-27,1368
2023-06-28,1277
2023-06-29,1184
2023-06-30,1299
2023-07-01,1353
2023-07-02,1367
2023-07-03,1392
2023-07-04,1320
2023-07-05,1224
2023-07-06,1127
2023-07-07,1278
2023-07-08,1336
2023-07-09,1399
2023-07-10,1321
2023-07-11,1423
2023-07-12,1328
2023-07-13,1182
2023-07-14,1144
2023-07-15,1221
2023-07-16,1360
2023-07-17,1310
2023-07-18,1297
2023-07-19,1264
2023-07-20,1077
2023-07-21,1270
2023-07-22,1323
2023-07-23,1258
2023-07-24,1266
2023-07-25,1266
2023-07-26,1139
2023-07-27,1121
2023-07-28,1022
2023-07-29,1215
2023-07-30,1392
2023-07-31,1263
2023-08-01,1249
2023-08-02,1099
2023-08-03,1148
2023-08-04,1122
2023-08-05,1306
2023-08-06,1296
2023-08-07,1284
2023-08-08,1273
2023-08-09,1132
2023-08-10,1034
2023-08-11,1133
2023-08-12,1185
2023-08-13,1278
2023-08-14,1306
2023-08-15,1206
2023-08-16,1163
2023-08-17,1173
2023-08-18,1048
2023-08-19,1267
2023-08-20,1244
2023-08-21,1236
2023-08-22,1340
2023-08-23,1138
2023-08-24,1143
2023-08-25,1133
2023-08-26,1085
2023-08-27,1251
2023-08-28,1237
2023-08-29,1141
2023-08-30,1031
2023-08-31,1069
2023-09-01,1112
2023-09-02,1179
2023-09-03,1221
2023-09-04,1215
2023-09-05,1150
2023-09-06,1084
2023-09-07,1005
2023-09-08,1065
2023-09-09,1152
2023-09-10,1185
2023-09-11,1237
2023-09-12,1156
2023-09-13,1106
2023-09-14,1077
2023-09-15,1080
2023-09-16,1172
2023-09-17,1144
2023-09-18,1227
2023-09-19,1205
2023-09-20,1136
2023-09-21,970
2023-09-22,1077
2023-09-23,1208
2023-09-24,1217
2023-09-25,1240
2023-09-26,1214
2023-09-27,1117
2023-09-28,1085
2023-09-29,1074
2023-09-30,1157
2023-10-01,1189
2023-10-02,1239
2023-10-03,1257
2023-10-04,1098
2023-10-05,1046
2023-10-06,1050
2023-10-07,1193
2023-10-08,1190
2023-10-09,1299
2023-10-10,1153
2023-10-11,1061
2023-10-12,1072
2023-10-13,1088
2023-10-14,1176
2023-10-15,1294
2023-10-16,1241
2023-10-17,1231
2023-10-18,1078
2023-10-19,1134
2023-10-20,1123
2023-10-21,1198
2023-10-22,1261
2023-10-23,1233
2023-10-24,1204
2023-10-25,1160
2023-10-26,1082
2023-10-27,1110
2023-10-28,1116
2023-10-29,1274
2023-10-30,1252
2023-10-31,1180
2023-11-01,1142
2023-11-02,1005
2023-11-03,1154
2023-11-04,1243
2023-11-05,1278
2023-11-06,1253
2023-11-07,1204
2023-11-08,1159
2023-11-09,994
2023-11-10,1146
2023-11-11,1251
2023-11-12,1284
2023-11-13,1297
2023-11-14,1279
2023-11-15,1204
2023-11-16,1190
2023-11-17,1158
2023-11-18,1204
2023-11-19,1297
2023-11-20,1351
2023-11-21,1369
2023-11-22,1192
2023-11-23,1104
2023-11-24,1136
2023-11-25,1156
2023-11-26,1359
2023-11-27,1297
2023-11-28,1253
2023-11-29,1132
2023-11-30,1124
2023-12-01,1232
2023-12-02,1219
2023-12-03,1279
2023-12-04,1398
2023-12-05,1322
2023-12-06,1277
2023-12-07,1242
2023-12-08,1228
2023-12-09,1245
2023-12-10,1386
2023-12-11,1440
2023-12-12,1336
2023-12-13,1210
2023-12-14,1287
2023-12-15,1234
2023-12-16,1316
2023-12-17,1420
2023-12-18,1494
2023-12-19,1405
2023-12-20,1292
2023-12-21,1293
2023-12-22,1389
2023-12-23,1434
2023-12-24,1480
2023-12-25,1414
2023-12-26,1607
2023-12-27,1277
2023-12-28,1268
2023-12-29,1275
2023-12-30,1473
2023-12-31,1495
