date,admissions
2022-05-19,199
2022-05-20,203
2022-05-21,164
2022-05-22,179
2022-05-23,193
2022-05-24,196
2022-05-25,206
2022-05-26,177
2022-05-27,194
2022-05-28,226
2022-05-29,204
2022-05-30,208
2022-05-31,195
2022-06-01,207
2022-06-02,224
2022-06-03,199
2022-06-04,216
2022-06-05,186
2022-06-06,208
2022-06-07,214
2022-06-08,190
2022-06-09,218
2022-06-10,192
2022-06-11,191
2022-06-12,204
2022-06-13,234
2022-06-14,210
2022-06-15,220
2022-06-16,196
2022-06-17,209
2022-06-18,191
2022-06-19,201
2022-06-20,223
2022-06-21,210
2022-06-22,233
2022-06-23,209
2022-06-24,210
2022-06-25,233
2022-06-26,205
2022-06-27,193
2022-06-28,236
2022-06-29,223
2022-06-30,186
2022-07-01,219
2022-07-02,214
2022-07-03,247
2022-07-04,210
2022-07-05,213
2022-07-06,209
2022-07-07,208
2022-07-08,214
2022-07-09,204
2022-07-10,211
2022-07-11,203
2022-07-12,205
2022-07-13,205
2022-07-14,221
2022-07-15,220
2022-07-16,212
2022-07-17,239
2022-07-18,232
2022-07-19,227
2022-07-20,227
2022-07-21,258
2022-07-22,239
2022-07-23,243
2022-07-24,198
2022-07-25,228
2022-07-26,206
2022-07-27,233
2022-07-28,245
2022-07-29,230
2022-07-30,249
2022-07-31,227
2022-08-01,251
2022-08-02,220
2022-08-03,240
2022-08-04,251
2022-08-05,254
2022-08-06,244
2022-08-07,276
2022-08-08,241
2022-08-09,241
2022-08-10,207
2022-08-11,276
2022-08-12,245
2022-08-13,233
2022-08-14,271
2022-08-15,271
2022-08-16,254
2022-08-17,232
2022-08-18,260
2022-08-19,245
2022-08-20,237
2022-08-21,271
2022-08-22,224
2022-08-23,265
2022-08-24,264
2022-08-25,288
2022-08-26,263
2022-08-27,228
2022-08-28,247
2022-08-29,261
2022-08-30,266
2022-08-31,275
2022-09-01,232
2022-09-02,257
2022-09-03,277
2022-09-04,286
2022-09-05,291
2022-09-06,257
2022-09-07,280
2022-09-08,290
2022-09-09,282
2022-09-10,276
2022-09-11,278
2022-09-12,254
2022-09-13,244
2022-09-14,281
2022-09-15,261
2022-09-16,266
2022-09-17,258
2022-09-18,261
2022-09-19,271
2022-09-20,253
2022-09-21,269
2022-09-22,272
2022-09-23,267
2022-09-24,258
2022-09-25,281
2022-09-26,297
2022-09-27,260
2022-09-28,288
2022-09-29,283
2022-09-30,230
2022-10-01,258
2022-10-02,260
2022-10-03,282
2022-10-04,273
2022-10-05,277
2022-10-06,280
2022-10-07,257
2022-10-08,259
2022-10-09,252
2022-10-10,268
2022-10-11,269
2022-10-12,273
2022-10-13,260
2022-10-14,284
2022-10-15,284
2022-10-16,294
2022-10-17,281
2022-10-18,273
2022-10-19,280
2022-10-20,279
2022-10-21,260
2022-10-22,289
2022-10-23,295
2022-10-24,299
2022-10-25,270
2022-10-26,274
2022-10-27,275
2022-10-28,269
2022-10-29,278
2022-10-30,267
2022-10-31,265
2022-11-01,294
2022-11-02,270
2022-11-03,269
2022-11-04,280
2022-11-05,269
2022-11-06,271
2022-11-07,265
2022-11-08,248
2022-11-09,265
2022-11-10,248
2022-11-11,268
2022-11-12,247
2022-11-13,278
2022-11-14,275
2022-11-15,268
2022-11-16,262
2022-11-17,269
2022-11-18,233
2022-11-19,246
2022-11-20,260
2022-11-21,267
2022-11-22,260
2022-11-23,246
2022-11-24,262
2022-11-25,253
2022-11-26,243
2022-11-27,264
2022-11-28,255
2022-11-29,276
2022-11-30,267
2022-12-01,268
2022-12-02,261
2022-12-03,243
2022-12-04,241
2022-12-05,233
2022-12-06,298
2022-12-07,238
2022-12-08,250
2022-12-09,248
2022-12-10,248
2022-12-11,243
2022-12-12,223
2022-12-13,236
2022-12-14,229
2022-12-15,248
2022-12-16,239
2022-12-17,238
2022-12-18,251
2022-12-19,239
2022-12-20,261
2022-12-21,241
2022-12-22,249
2022-12-23,225
2022-12-24,254
2022-12-25,238
2022-12-26,250
2022-12-27,248
2022-12-28,240
2022-12-29,245
2022-12-30,235
2022-12-31,261
2023-01-01,254
2023-01-02,247
2023-01-03,221
2023-01-04,222
2023-01-05,228
2023-01-06,233
2023-01-07,243
2023-01-08,223
2023-01-09,253
2023-01-10,235
2023-01-11,204
2023-01-12,227
2023-01-13,194
2023-01-14,221
2023-01-15,224
2023-01-16,222
2023-01-17,226
2023-01-18,224
2023-01-19,221
2023-01-20,252
2023-01-21,247
2023-01-22,211
2023-01-23,246
2023-01-24,203
2023-01-25,214
2023-01-26,249
2023-01-27,192
2023-01-28,234
2023-01-29,206
2023-01-30,222
2023-01-31,221
2023-02-01,249
2023-02-02,210
2023-02-03,221
2023-02-04,231
2023-02-05,217
2023-02-06,208
2023-02-07,219
2023-02-08,221
2023-02-09,233
2023-02-10,205
2023-02-11,212
2023-02-12,223
2023-02-13,215
2023-02-14,215
2023-02-15,217
2023-02-16,206
2023-02-17,204
2023-02-18,222
2023-02-19,199
2023-02-20,233
2023-02-21,218
2023-02-22,195
2023-02-23,218
2023-02-24,216
2023-02-25,225
2023-02-26,231
2023-02-27,208
2023-02-28,202
2023-03-01,203
2023-03-02,198
2023-03-03,201
2023-03-04,216
2023-03-05,212
2023-03-06,204
2023-03-07,200
2023-03-08,216
2023-03-09,203
2023-03-10,195
2023-03-11,208
2023-03-12,206
2023-03-13,194
2023-03-14,222
2023-03-15,223
2023-03-16,210
2023-03-17,212
2023-03-18,218
2023-03-19,209
2023-03-20,223
2023-03-21,234
2023-03-22,211
2023-03-23,216
2023-03-24,223
2023-03-25,204
2023-03-26,193
2023-03-27,223
2023-03-28,186
2023-03-29,236
2023-03-30,223
2023-03-31,213
2023-04-01,211
2023-04-02,236
2023-04-03,196
2023-04-04,193
2023-04-05,201
2023-04-06,207
2023-04-07,196
2023-04-08,213
2023-04-09,213
2023-04-10,199
2023-04-11,235
2023-04-12,191
2023-04-13,193
2023-04-14,218
2023-04-15,209
2023-04-16,219
2023-04-17,204
2023-04-18,198
2023-04-19,204
2023-04-20,204
2023-04-21,222
2023-04-22,207
2023-04-23,226
2023-04-24,224
2023-04-25,231
2023-04-26,229
2023-04-27,228
2023-04-28,228
2023-04-29,209
2023-04-30,214
2023-05-01,190
2023-05-02,223
2023-05-03,209
2023-05-04,225
2023-05-05,228
2023-05-06,200
2023-05-07,206
2023-05-08,216
2023-05-09,214
2023-05-10,225
2023-05-11,205
2023-05-12,224
2023-05-13,199
2023-05-14,192
2023-05-15,236
2023-05-16,206
2023-05-17,218
2023-05-18,206
2023-05-19,206
2023-05-20,222
2023-05-21,222
2023-05-22,244
2023-05-23,237
2023-05-24,227
2023-05-25,243
2023-05-26,249
2023-05-27,239
2023-05-28,227
2023-05-29,249
2023-05-30,261
2023-05-31,245
2023-06-01,262
2023-06-02,251
2023-06-03,250
2023-06-04,222
2023-06-05,222
2023-06-06,239
2023-06-07,215
2023-06-08,232
2023-06-09,255
2023-06-10,232
2023-06-11,251
2023-06-12,224
2023-06-13,237
2023-06-14,261
2023-06-15,249
2023-06-16,251
2023-06-17,273
2023-06-18,268
2023-06-19,236
2023-06-20,270
2023-06-21,242
2023-06-22,251
2023-06-23,253
2023-06-24,269
2023-06-25,237
2023-06-26,262
2023-06-27,263
2023-06-28,269
2023-06-29,254
2023-06-30,273
2023-07-01,248
2023-07-02,277
2023-07-03,266
2023-07-04,240
2023-07-05,268
2023-07-06,265
2023-07-07,258
2023-07-08,253
2023-07-09,262
2023-07-10,244
2023-07-11,292
2023-07-12,251
2023-07-13,258
2023-07-14,286
2023-07-15,279
2023-07-16,281
2023-07-17,294
2023-07-18,268
2023-07-19,257
2023-07-20,286
2023-07-21,286
2023-07-22,270
2023-07-23,257
2023-07-24,295
2023-07-25,286
2023-07-26,258
2023-07-27,291
2023-07-28,258
2023-07-29,273
2023-07-30,264
2023-07-31,272
2023-08-01,270
2023-08-02,274
2023-08-03,295
2023-08-04,289
2023-08-05,295
2023-08-06,303
2023-08-07,281
2023-08-08,289
2023-08-09,296
2023-08-10,314
2023-08-11,303
2023-08-12,311
2023-08-13,306
2023-08-14,307
2023-08-15,265
2023-08-16,306
2023-08-17,296
2023-08-18,295
2023-08-19,286
2023-08-20,289
2023-08-21,302
2023-08-22,309
2023-08-23,274
2023-08-24,300
2023-08-25,289
2023-08-26,284
2023-08-27,305
2023-08-28,294
2023-08-29,290
2023-08-30,289
2023-08-31,305
2023-09-01,301
2023-09-02,285
2023-09-03,289
2023-09-04,300
2023-09-05,309
2023-09-06,288
2023-09-07,311
2023-09-08,292
2023-09-09,345
2023-09-10,291
2023-09-11,293
2023-09-12,308
2023-09-13,292
2023-09-14,319
2023-09-15,334
2023-09-16,301
2023-09-17,310
2023-09-18,300
2023-09-19,308
2023-09-20,329
2023-09-21,322
2023-09-22,295
2023-09-23,332
2023-09-24,326
2023-09-25,316
2023-09-26,299
2023-09-27,310
2023-09-28,298
2023-09-29,317
2023-09-30,305
2023-10-01,276
2023-10-02,324
2023-10-03,313
2023-10-04,326
2023-10-05,308
2023-10-06,313
2023-10-07,327
2023-10-08,316
2023-10-09,315
2023-10-10,359
2023-10-11,308
2023-10-12,313
2023-10-13,336
2023-10-14,298
2023-10-15,295
2023-10-16,289
2023-10-17,318
2023-10-18,320
2023-10-19,321
2023-10-20,290
2023-10-21,325
2023-10-22,328
2023-10-23,308
2023-10-24,310
2023-10-25,320
2023-10-26,315
2023-10-27,319
2023-10-28,293
2023-10-29,306
2023-10-30,290
2023-10-31,318
2023-11-01,316
2023-11-02,306
2023-11-03,312
2023-11-04,284
2023-11-05,320
2023-11-06,300
2023-11-07,308
2023-11-08,323
2023-11-09,294
2023-11-10,323
2023-11-11,307
2023-11-12,305
2023-11-13,313
2023-11-14,285
2023-11-15,313
2023-11-16,304
2023-11-17,319
2023-11-18,299
2023-11-19,297
2023-11-20,307
2023-11-21,301
2023-11-22,283
2023-11-23,298
2023-11-24,319
2023-11-25,298
2023-11-26,286
2023-11-27,310
2023-11-28,271
2023-11-29,266
2023-11-30,297
2023-12-01,300
2023-12-02,300
2023-12-03,283
2023-12-04,293
2023-12-05,274
2023-12-06,298
2023-12-07,270
2023-12-08,291
2023-12-09,297
2023-12-10,266
2023-12-11,284
2023-12-12,303
2023-12-13,314
2023-12-14,268
2023-12-15,295
2023-12-16,271
2023-12-17,268
2023-12-18,312
2023-12-19,297
2023-12-20,275
2023-12-21,290
2023-12-22,295
2023-12-23,288
2023-12-24,318
2023-12-25,293
2023-12-26,239
2023-12-27,279
2023-12-28,271
2023-12-29,279
2023-12-30,281
2023-12-31,271
